"Time"	YJL206C	YDR167W	YDR166C	YGL262W	YHL008C
950	0.9092143	0.8213356	0.0658822	0.7753113	0.0148758
1000	0.7093851	0.6778911	0.1394266	0.7609501	0.0089786

0	0.8296749	0.7623849	0.1007109	0.7915084	0.0129069
50	0.6390567	0.6913470	0.1374875	0.7642226	0.0070250
100	0.4933519	0.8333465	0.2474776	0.8393403	0.0063975
150	0.4444644	0.8184523	0.2300252	0.6855180	0.0005050
200	0.3783699	0.7375232	0.2652510	0.8605165	0.0002170
250	0.5771639	0.7399460	0.3285923	0.7496134	0.0000000
300	0.5102982	0.7654313	0.3046223	0.7168349	0.0006338
350	0.3703410	0.7026427	0.2667465	0.7327094	0.0018283
400	0.5161376	0.8665199	0.3515816	0.8219275	0.0000000
450	0.4886764	0.7786905	0.3242309	0.7292408	0.0005594
500	0.5235851	0.8686204	0.3549691	0.7990279	0.0034842
550	0.5357995	0.7705897	0.3003860	0.6551880	0.0018891
600	0.8926462	0.7396635	0.2654901	0.7282011	0.0097936
650	0.6348735	0.6991485	0.1347352	0.8250303	0.0060883
700	0.6776604	0.8345642	0.1606995	0.8864893	0.0148768
750	0.7794201	0.7577424	0.1190397	0.8860732	0.0080395
800	0.7479823	0.9061834	0.1048389	0.7966072	0.0028114
850	0.7290249	0.7594164	0.0993569	0.7670318	0.0077543
900	0.6677515	0.7693028	0.1687816	0.6774174	0.0104272
950	0.8297762	0.8967581	0.0779447	0.6642320	0.0272957
1000	0.6564269	0.7479158	0.0916238	0.8398921	0.0185640

0	0.8250205	0.6374375	0.0944187	0.6994185	0.0144376
50	0.3218486	0.8167749	0.0764325	0.8349746	0.0132855
100	0.1134007	0.6986929	0.2996412	0.7880328	0.0173046
150	0.0758444	0.6456163	0.4232205	0.7485408	0.0154100
200	0.0396507	0.2501349	0.5397000	0.6925289	0.0538819
250	0.1134082	0.1161460	0.7758097	0.7670855	0.2454506
300	0.0698556	0.0515640	0.6745746	0.7983186	0.2134814
350	0.0518441	0.0735602	0.6553843	0.7481063	0.3345355
400	0.1217316	0.0646232	0.7238186	0.6330298	0.3710586
450	0.0551758	0.1129586	0.7812752	0.6275364	0.3434430
500	0.0669857	0.0640891	0.7169606	0.6615289	0.3824475
550	0.5196311	0.3160351	0.7080951	0.8624526	0.1842156
600	0.6539063	0.6647801	0.5374010	0.7306011	0.0690461
650	0.8039483	0.8145891	0.3047112	0.7478587	0.0303564
700	0.6014754	0.9451995	0.1884762	0.6779323	0.0154052
750	0.7219078	0.8618596	0.1826399	0.8095117	0.0059541
800	0.7574151	0.9636823	0.1088791	0.7238957	0.0026689
850	0.8210801	0.8019741	0.1734273	0.6594650	0.0008967
900	0.7598336	0.8493755	0.1583070	0.8510943	0.0077046
950	0.6538335	0.7873775	0.0834108	0.9243899	0.0095158
1000	0.6793474	0.7688772	0.0745274	0.7327494	0.0070833

0	0.7807958	0.6957521	0.0878599	0.7863446	0.0081745
50	0.4646636	0.7266387	0.0818191	0.6845965	0.0061072
100	0.3740177	0.7833708	0.0247088	0.7206251	0.0065331
150	0.2209535	0.6666349	0.0452621	0.7160645	0.0068862
200	0.2889466	0.5950980	0.0338986	0.7612285	0.0125081
250	0.3221152	0.7232882	0.0517929	0.7300183	0.0012131
300	0.2522251	0.6845810	0.0594779	0.6679475	0.0024742
350	0.2042692	0.7475750	0.0527878	0.6999998	0.0041575
400	0.2322523	0.7406931	0.0514135	0.6371793	0.0035539
450	0.2742495	0.6687851	0.0346277	0.7891964	0.0040810
500	0.2792979	0.7219127	0.0629775	0.8336046	0.0071668
550	0.5931958	0.7702243	0.3257750	0.6105130	0.0176916
600	0.7634524	0.7539102	0.2586447	0.8827880	0.0091811
650	0.7033554	0.6585350	0.2546602	0.7275165	0.0036677
700	0.6655618	0.8956821	0.1557700	0.7926388	0.0082767
750	0.8368223	0.7387875	0.1124350	0.8264287	0.0155489
800	0.6622308	0.8698584	0.1808204	0.8638631	0.0063692
850	0.7878873	0.8044431	0.1476185	0.8563574	0.0065969
900	0.8731042	0.7339162	0.0787648	0.8008529	0.0063549
950	0.7636963	0.7705867	0.0808848	0.8797349	0.0175208
1000	0.7484790	0.7259595	0.1301369	0.8200328	0.0071910

0	0.7298210	0.7816874	0.0860884	0.7208671	0.0090362
50	0.6794388	0.7070489	0.0539899	0.7000872	0.0009377
100	0.7980917	0.7563502	0.0295641	0.7621651	0.0007728
150	0.7418931	0.8229931	0.0769534	0.7216656	0.0000943
200	0.8608940	0.7976344	0.0755560	0.7891923	0.0005928
250	0.7284906	0.9016189	0.0397691	0.6325356	0.0015265
300	0.7349033	0.8028643	0.0258624	0.7774508	0.0002725
350	0.7001492	0.7872986	0.0579596	0.8273690	0.0001849
400	0.8638772	0.8189146	0.0474220	0.8167427	0.0000759
450	0.8678780	0.8121218	0.0418053	0.8873700	0.0028224
500	0.7092193	0.9152650	0.0489539	0.7645134	0.0005197
550	0.8264733	0.7092376	0.0767028	0.7820655	0.0028971
600	0.6745465	0.7581093	0.0837855	0.7380181	0.0425672
650	0.8165676	0.8206984	0.1420865	0.8291329	0.0068166
700	0.9397105	0.8285403	0.0983289	0.9163676	0.0077820
750	0.6701333	0.7957775	0.0743828	0.8112223	0.0059010
800	0.7098818	0.8134329	0.0797950	0.6408402	0.0073401
850	0.6975796	0.7683287	0.0595706	0.7426846	0.0036853
900	0.6646761	0.7037043	0.0922939	0.8089128	0.0295564
950	0.6868979	0.7502699	0.0604716	0.8495338	0.0149251
1000	0.7829063	0.6912757	0.0998906	0.6674654	0.0118107

0	0.8558550	0.6739563	0.0900308	0.8252895	0.0264367
50	0.5961214	0.8707518	0.0448569	0.9104110	0.0034944
100	0.6602661	0.8084400	0.1700462	0.7455816	0.0006807
150	0.5315242	0.7485606	0.1903166	0.7347267	0.0001212
200	0.5246838	0.7405098	0.2485566	0.7659773	0.0001577
250	0.6050562	0.7196725	0.2319003	0.8126191	0.0000830
300	0.6377099	0.6062084	0.2839021	0.7496345	0.0003892
350	0.5548887	0.7056508	0.2155185	0.8832417	0.0000476
400	0.6515072	0.6924263	0.2699474	0.8168388	0.0056432
450	0.5927534	0.7002426	0.2126022	0.7484676	0.0003970
500	0.5777039	0.7112591	0.1733932	0.6974939	0.0012404
550	0.5739260	0.7158311	0.1816054	0.7248880	0.0023426
600	0.6828976	0.7326315	0.1597976	0.6966928	0.0098877
650	0.6332511	0.7296465	0.1550096	0.7970936	0.0109946
700	0.7544184	0.7455024	0.1318880	0.8779244	0.0180847
750	0.6927548	0.7527647	0.0809254	0.7352599	0.0132877
800	0.7317181	0.7940618	0.0883365	0.7452501	0.0023421
850	0.6338683	0.7326218	0.1423257	0.6955487	0.0089134
900	0.6957887	0.7564150	0.1024850	0.7160194	0.0054430
950	0.6694347	0.6880795	0.1075902	0.7587968	0.0214959
1000	0.8736605	0.7269912	0.1015651	0.6628924	0.0048709

0	0.8880645	0.7593326	0.1109841	0.7723044	0.0286619
50	0.7275469	0.8227329	0.0669037	0.7408467	0.0024116
100	0.6256359	0.8043546	0.0739648	0.8247831	0.0006643
150	0.6910369	0.7945873	0.0416813	0.7115839	0.0012095
200	0.7312473	0.6513182	0.0332563	0.7747538	0.0011379
250	0.8144449	0.9659072	0.0556289	0.6350379	0.0000329
300	0.7714230	0.7332805	0.0345776	0.6826239	0.0016107
350	0.8295673	0.6853564	0.0443751	0.7162922	0.0010565
400	0.7864505	0.8150883	0.0198717	0.7667365	0.0000215
450	0.9420679	0.8127548	0.0260692	0.7733199	0.0000467
500	0.7743491	0.6657589	0.0357473	0.8095248	0.0005500
550	0.7285549	0.7090984	0.0907667	0.8398127	0.0043649
600	0.7053624	0.8369844	0.0787916	0.7954955	0.0104971
650	0.8269823	0.7747482	0.0468233	0.8347394	0.0151664
700	0.9055907	0.6583099	0.0776510	0.7856431	0.0234675
750	0.8634437	0.8843812	0.1026310	0.8080068	0.0104133
800	0.8131519	0.7726779	0.1406100	0.7361891	0.0104245
850	0.8217093	0.7529096	0.0965546	0.7846919	0.0169941
900	0.6820034	0.7947159	0.0712964	0.7826051	0.0284186
950	0.8497497	0.7401989	0.0898098	0.6930919	0.0091093
1000	0.8715426	0.7837641	0.0636473	0.7185672	0.0303175

0	0.7300617	0.7842547	0.0767752	0.7499996	0.0060097
50	0.7447022	0.8366895	0.1332179	0.8289649	0.0095847
100	0.8871216	0.7832428	0.1212650	0.7984090	0.0230778
150	0.8134146	0.7744709	0.1290455	0.8518722	0.0070751
200	0.7533692	0.8001795	0.1102222	0.7204987	0.0033490
250	0.7342363	0.8685854	0.0813724	0.7357116	0.0150400
300	0.8580542	0.7736169	0.0650590	0.8307045	0.0028408
350	0.8940766	0.7744430	0.0848802	0.7647731	0.0100226
400	0.8567216	0.7248764	0.0470065	0.8482155	0.0079810
450	0.7473084	0.7941301	0.0654815	0.6603062	0.0076063
500	0.7639542	0.7600648	0.0903235	0.7210455	0.0071430
550	0.8399091	0.8534437	0.0990603	0.7404446	0.0202281
600	0.9484627	0.8743238	0.1029087	0.7549173	0.0092828
650	0.7646833	0.7388539	0.1052227	0.6497959	0.0041337
700	0.7201042	0.7179128	0.1390415	0.6725600	0.0013356
750	0.7980904	0.8499433	0.1154340	0.6877895	0.0115116
800	0.8675111	0.8000167	0.1285394	0.9188038	0.0088740
850	0.7956002	0.7628795	0.1182215	0.6806220	0.0280326
900	0.6741597	0.7995875	0.1058671	0.8504719	0.0076090
950	0.6700611	0.5875712	0.1147642	0.7192499	0.0238144
1000	0.6418397	0.8976814	0.1162071	0.7683630	0.0125369

0	0.8002682	0.8571987	0.0904125	0.9281226	0.0106737
50	0.7114856	0.8654227	0.0732187	0.8859766	0.0049053
100	0.6897736	0.8662908	0.0761858	0.8206365	0.0195658
150	0.7472396	0.8628656	0.0873862	0.7207384	0.0239427
200	0.6002866	0.8841248	0.1073825	0.7986653	0.0050494
250	0.6154264	0.7327687	0.0819944	0.7948047	0.0059782
300	0.8606639	0.7354286	0.0866442	0.7748709	0.0040855
350	0.9146137	0.7533768	0.0834009	0.7780400	0.0078211
400	0.7367531	0.7527849	0.0808701	0.7494123	0.0077739
450	0.7119993	0.7684821	0.0963955	0.7094508	0.0051770
500	0.7055321	0.9097721	0.0655745	0.8837136	0.0066575
550	0.6225317	0.7186438	0.1316173	0.7642358	0.0033857
600	0.8312451	0.9314781	0.1111477	0.7118868	0.0362688
650	0.9431255	0.6622614	0.1333097	0.6995030	0.0059726
700	0.6884471	0.6236439	0.0976352	0.8295746	0.0153544
750	0.8758348	0.6986212	0.1022434	0.8997754	0.0218509
800	0.8136425	0.7755926	0.1415417	0.7681079	0.0097467
850	0.9073170	0.8022659	0.0735537	0.7764587	0.0040122
900	0.6983842	0.7842119	0.0624602	0.6488091	0.0109219
950	0.7859837	0.8232843	0.0934216	0.7105671	0.0083511
1000	0.7225181	0.7642135	0.1107283	0.6180727	0.0065980
